rank	algorithm	activation	algorithm_color
88	nmf	-0.02209869367870962	#b2df8a
88	adage	-0.5838669569102555	#33a02c
88	tybalt	-0.9848907356020771	#fb9a99
88	vae_100	-1.3233120622071182	#e31a1c
88	vae_300	-0.17776501317985594	#fdbf6f
89	pca	-1.577941180803438	#a6cee3
89	ica	-0.00311209933465814	#1f78b4
89	nmf	-0.024355168309404207	#b2df8a
89	adage	-0.6328782437425344	#33a02c
89	tybalt	-1.0673175648925435	#fb9a99
89	vae_100	-1.410233410311248	#e31a1c
89	vae_300	-0.19993679277786766	#fdbf6f
90	pca	-2.0577980461562406	#a6cee3
90	ica	-0.0032269093482813274	#1f78b4
90	nmf	-0.02495425194458792	#b2df8a
90	adage	-0.6699478960776846	#33a02c
90	tybalt	-1.127946436649594	#fb9a99
90	vae_100	-1.4554003513649492	#e31a1c
90	vae_300	-0.232505685442431	#fdbf6f
91	pca	-2.0691639336101617	#a6cee3
91	ica	-0.003770074959160318	#1f78b4
91	nmf	-0.037070306618497306	#b2df8a
91	adage	-0.7196741752295936	#33a02c
91	tybalt	-1.2189234450318676	#fb9a99
91	vae_100	-1.475057304958054	#e31a1c
91	vae_300	-0.27846808195189576	#fdbf6f
92	pca	-2.628398217041596	#a6cee3
92	ica	-0.004663407415443678	#1f78b4
92	nmf	-0.03789090303781483	#b2df8a
92	adage	-0.7914937532910864	#33a02c
92	tybalt	-1.2879472282145787	#fb9a99
92	vae_100	-1.621341831587361	#e31a1c
92	vae_300	-0.31961135713083944	#fdbf6f
93	pca	-3.0736656158146936	#a6cee3
93	ica	-0.0051491303270571435	#1f78b4
93	nmf	-0.05115132145573539	#b2df8a
93	adage	-0.8089706189153363	#33a02c
93	tybalt	-1.3600360565505194	#fb9a99
93	vae_100	-1.7444246099545315	#e31a1c
93	vae_300	-0.4491203104006267	#fdbf6f
94	pca	-3.396860936891244	#a6cee3
94	ica	-0.005656358927470462	#1f78b4
94	nmf	-0.05168433809876244	#b2df8a
94	adage	-0.9960512371916757	#33a02c
94	tybalt	-1.397345774057694	#fb9a99
94	vae_100	-1.7508228405380675	#e31a1c
94	vae_300	-0.5054477590213609	#fdbf6f
95	pca	-3.8562164225884654	#a6cee3
95	ica	-0.005948039919234823	#1f78b4
95	nmf	-0.052634373818458244	#b2df8a
95	adage	-1.2462316145125838	#33a02c
95	tybalt	-1.771895168596548	#fb9a99
95	vae_100	-2.638973055644661	#e31a1c
95	vae_300	-0.5779337209852362	#fdbf6f
96	pca	-4.698735386332412	#a6cee3
96	ica	-0.006881357339784419	#1f78b4
96	nmf	-0.05293626351812055	#b2df8a
96	adage	-1.3446192424083523	#33a02c
96	tybalt	-1.8859416374571083	#fb9a99
96	vae_100	-2.927765236051533	#e31a1c
96	vae_300	-0.6193306677747822	#fdbf6f
97	pca	-7.004477078262257	#a6cee3
97	ica	-0.007700316771360564	#1f78b4
97	nmf	-0.07061069794217416	#b2df8a
97	adage	-1.415093561357133	#33a02c
97	tybalt	-2.0387122063399596	#fb9a99
97	vae_100	-3.04954315485923	#e31a1c
97	vae_300	-0.6260594361595586	#fdbf6f
98	pca	-8.451492800210074	#a6cee3
98	ica	-0.00833596413285601	#1f78b4
98	nmf	-0.08743819280599738	#b2df8a
98	adage	-1.7023718623442112	#33a02c
98	tybalt	-2.9116355912913656	#fb9a99
98	vae_100	-3.9482347889466958	#e31a1c
98	vae_300	-0.6295564529526805	#fdbf6f
99	pca	-9.965287518572154	#a6cee3
99	ica	-0.010004433734826358	#1f78b4
99	nmf	-0.1663396467803681	#b2df8a
99	adage	-1.9511237711718554	#33a02c
99	tybalt	-3.1476504724066956	#fb9a99
99	vae_100	-4.073996963763861	#e31a1c
99	vae_300	-0.6559977162185402	#fdbf6f
